id,content,author_id,category_id,create_date
1,새로운 것을 시도할 때 바로 행동에 옮기지 못하고 온갖 고민을 하고나서야 실행을 하는 경향이 있습니다. 이 버릇을 좀 고치고 싶은데 어떻게 해야할까요?,4,1,2022-08-04 04:00:53.765519
3,안녕하세요 여자친구랑 다툼이 너무 많이 일어나는데 어떻게 해야 하면 좋을지 모르겠어요 ㅜㅜ,5,3,2022-08-04 04:02:27.822645
4,사람을 대하는게 점점 어려워지네요...,1,4,2022-08-04 04:02:43.663675
5,금연을 시작한지 3달이 다되어갑니다. 그런데 요즘에도 스트레스를 받을 일이 생기면 생각이 나더라고요. 어떻게 해야 더 생각이 안날까요?,3,1,2022-08-04 04:03:42.732421
6,이번에 사촌오빠가 시험을 치루는데 어떻게 하면 부담을 주지 않고 응원해줄 수 있을까요?,4,2,2022-08-04 04:06:30.582067
7,동생이랑 사이가 너무 안좋은거 같아요. 매일 마주치면 서로 죽일듯이 싸우고 그래서 집에 오면 스트레스를 너무 많이 받아요 ㅜㅜ,5,2,2022-08-04 04:06:40.374012
8,일과 공부를 같이 병행하는게 너무나도 힘듭니다 그래서 공부를 포기해야 싶기도 한데.. 너무 고민이 많이 됩니다,5,5,2022-08-04 04:08:08.124358
9,안녕하세요.. 아까 학업에 관련하여 글을 올려봤는데 아무도 말을 안해주셔서 그게 고민입니다.,3,5,2022-08-04 04:09:37.218089
10,제가 우리 애한테 상처를 준 거 같아요 어떡하죠?,1,6,2022-08-04 04:11:54.466152
11,"리눅스 공포증 배포 공포증이 낫질 않아요ㅋㅋㅋㅋㅋㅋㅋ ㅇㅅㅠ 방법졈....
카테고리 일상인 이유는...
Coding is My Life ^^",6,1,2022-08-04 04:12:24.847327
12,제 이름가지고 사람들이 놀려요...... ㅠ,7,1,2022-08-04 07:05:32.927577
